chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
TSLA,2023-06-23,230.0000,call,buy,2023-06-12T19:20:17.355438Z,debit,2.00000,limit,long_call,,23.00000000,2.00000
ADBE,2023-06-23,455.0000,call,buy,2023-06-12T19:18:26.744684Z,debit,3.00000,limit,long_call,,33.00000000,3.00000
ADBE,2023-06-23,455.0000,call,buy,2023-06-12T19:16:18.921907Z,debit,1.00000,limit,long_call,,34.20000000,1.00000
ADBE,2023-06-30,430.0000,call,sell,2023-06-12T19:10:42.501789Z,credit,2.00000,limit,,long_call,53.40000000,2.00000
ADBE,2023-06-30,430.0000,call,buy,2023-06-12T18:16:42.001882Z,debit,2.00000,limit,long_call,,52.25000000,2.00000
ADBE,2023-06-30,440.0000,call,sell,2023-06-12T17:47:44.725778Z,credit,1.00000,limit,,long_call,43.95000000,1.00000
ADBE,2023-06-30,440.0000,call,buy,2023-06-12T15:06:48.779993Z,debit,1.00000,limit,long_call,,36.70000000,1.00000
ADBE,2023-06-16,420.0000,call,sell,2023-06-08T19:40:43.141264Z,credit,1.00000,limit,,long_call,26.30000000,1.00000
TSLA,2023-06-16,230.0000,call,sell,2023-06-08T19:39:25.734852Z,credit,1.00000,limit,,long_call,9.55000000,1.00000
TSLA,2023-06-16,230.0000,call,sell,2023-06-08T19:38:59.740464Z,credit,4.00000,limit,,long_call,9.55000000,4.00000
ADBE,2023-06-16,420.0000,call,sell,2023-06-08T19:37:57.873634Z,credit,1.00000,limit,,long_call,26.20000000,1.00000
AMZN,2023-06-09,124.0000,call,sell,2023-06-08T19:36:22.766711Z,credit,3.00000,limit,,long_call,0.99000000,3.00000
TSLA,2023-06-16,230.0000,call,sell,2023-06-08T19:35:29.060247Z,credit,5.00000,limit,,long_call,9.60000000,5.00000
AMZN,2023-06-09,124.0000,call,sell,2023-06-08T19:33:16.057304Z,credit,14.00000,limit,,long_call,0.91000000,14.00000
TSLA,2023-06-16,230.0000,call,sell,2023-06-08T19:30:56.981938Z,credit,1.00000,limit,,long_call,9.75000000,1.00000
AMZN,2023-06-09,124.0000,call,buy,2023-06-08T19:02:07.550877Z,debit,17.00000,limit,long_call,,0.94000000,17.00000
TSLA,2023-06-16,230.0000,call,buy,2023-06-08T18:58:13.250083Z,debit,11.00000,limit,long_call,,9.15000000,11.00000
ADBE,2023-06-16,420.0000,call,buy,2023-06-08T15:11:14.201818Z,debit,2.00000,limit,long_call,,26.50000000,2.00000
NVDA,2023-06-09,405.0000,call,sell,2023-06-07T15:51:55.949805Z,debit,9.00000,limit,,short_call_spread,1.10000000,9.00000
NVDA,2023-06-09,395.0000,call,buy,2023-06-07T15:51:55.949805Z,debit,9.00000,limit,,short_call_spread,1.10000000,9.00000
NVDA,2023-06-09,395.0000,call,sell,2023-06-07T15:22:37.606934Z,credit,9.00000,limit,short_call_spread,,1.31000000,9.00000
NVDA,2023-06-09,405.0000,call,buy,2023-06-07T15:22:37.606934Z,credit,9.00000,limit,short_call_spread,,1.31000000,9.00000
ALB,2023-06-16,195.0000,call,sell,2023-06-07T14:13:41.963243Z,credit,4.00000,limit,,long_call,24.30000000,4.00000
META,2023-06-23,260.0000,call,sell,2023-06-07T14:13:11.857304Z,credit,3.00000,limit,,long_call,15.40000000,3.00000
ALB,2023-06-16,195.0000,call,buy,2023-06-06T15:33:03.985453Z,debit,4.00000,limit,long_call,,20.00000000,4.00000
META,2023-06-23,260.0000,call,buy,2023-06-06T15:24:12.834273Z,debit,3.00000,limit,long_call,,17.50000000,3.00000
AMZN,2023-06-09,126.0000,call,sell,2023-06-05T15:08:37.190080Z,credit,1.00000,limit,,long_call,1.58000000,1.00000
AMZN,2023-06-09,126.0000,call,sell,2023-06-05T15:06:18.442447Z,credit,2.00000,limit,,long_call,1.53000000,2.00000
AMZN,2023-06-09,126.0000,call,sell,2023-06-05T15:04:29.917092Z,credit,10.00000,limit,,long_call,1.56000000,10.00000
META,2023-06-23,260.0000,call,sell,2023-06-05T15:03:22.166196Z,credit,1.00000,limit,,long_call,17.45000000,1.00000
